epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.6133,1.93162,0.62857,0.95556,1.24302,0.000235912,0.000235912,0.000235912
2,94.8993,0.89172,0.85714,0.99048,0.51179,0.000464529,0.000464529,0.000464529
3,141.828,0.5005,0.86984,0.97143,0.42287,0.000683721,0.000683721,0.000683721
4,188.781,0.35721,0.87937,0.99048,0.36313,0.000671588,0.000671588,0.000671588
5,235.604,0.32736,0.86984,0.99683,0.30169,0.000657451,0.000657451,0.000657451
6,282.464,0.23661,0.91429,1,0.30959,0.000643314,0.000643314,0.000643314
7,330.294,0.23322,0.92698,0.99048,0.2692,0.000629177,0.000629177,0.000629177
8,383.698,0.20459,0.94603,0.99365,0.19094,0.00061504,0.00061504,0.00061504
9,437.465,0.18049,0.94286,0.99365,0.20471,0.000600902,0.000600902,0.000600902
10,488.638,0.16142,0.95238,0.99365,0.1636,0.000586765,0.000586765,0.000586765
11,539.207,0.14597,0.93968,0.99048,0.21696,0.000572628,0.000572628,0.000572628
12,590.057,0.14672,0.93016,0.99683,0.23043,0.000558491,0.000558491,0.000558491
13,641.153,0.12701,0.95556,0.99048,0.16279,0.000544354,0.000544354,0.000544354
14,693.049,0.0947,0.94603,0.99365,0.20837,0.000530216,0.000530216,0.000530216
15,745.736,0.11094,0.95873,0.99365,0.18765,0.000516079,0.000516079,0.000516079
16,797.239,0.10812,0.92698,0.9873,0.17374,0.000501942,0.000501942,0.000501942
17,848.449,0.09513,0.95556,0.99365,0.1242,0.000487805,0.000487805,0.000487805
18,899.769,0.0964,0.95873,0.99683,0.157,0.000473668,0.000473668,0.000473668
19,951.111,0.0698,0.95556,0.99365,0.16716,0.00045953,0.00045953,0.00045953
20,1002.69,0.07814,0.94921,0.99048,0.2015,0.000445393,0.000445393,0.000445393
21,1054.04,0.07278,0.94921,0.99683,0.16983,0.000431256,0.000431256,0.000431256
22,1105.5,0.07012,0.94921,1,0.18561,0.000417119,0.000417119,0.000417119
23,1157.49,0.05849,0.94603,0.99048,0.1976,0.000402982,0.000402982,0.000402982
24,1210.37,0.06066,0.94286,0.99683,0.1796,0.000388844,0.000388844,0.000388844
25,1263.7,0.10376,0.94921,0.99365,0.1681,0.000374707,0.000374707,0.000374707
26,1315.57,0.06538,0.94603,1,0.17357,0.00036057,0.00036057,0.00036057
27,1367.02,0.06226,0.94921,0.99683,0.19293,0.000346433,0.000346433,0.000346433
28,1418.08,0.0439,0.96508,1,0.12344,0.000332296,0.000332296,0.000332296
29,1469.27,0.0724,0.95873,0.99365,0.13731,0.000318158,0.000318158,0.000318158
30,1522.44,0.06258,0.95556,0.99048,0.18089,0.000304021,0.000304021,0.000304021
31,1574.61,0.0628,0.93968,0.99683,0.17918,0.000289884,0.000289884,0.000289884
32,1626.2,0.04232,0.95873,0.99683,0.15147,0.000275747,0.000275747,0.000275747
33,1679.55,0.04772,0.95873,0.99683,0.14661,0.00026161,0.00026161,0.00026161
34,1732.29,0.04277,0.96508,0.99048,0.14781,0.000247472,0.000247472,0.000247472
35,1785.17,0.03476,0.95873,0.99048,0.17713,0.000233335,0.000233335,0.000233335
36,1836.71,0.03296,0.95556,0.99365,0.16216,0.000219198,0.000219198,0.000219198
37,1888.45,0.03636,0.9619,0.99048,0.1501,0.000205061,0.000205061,0.000205061
38,1940.02,0.02876,0.95873,0.99048,0.15252,0.000190924,0.000190924,0.000190924
39,1991.55,0.02781,0.95556,0.99048,0.16689,0.000176786,0.000176786,0.000176786
40,2043.03,0.02887,0.95873,0.99048,0.16573,0.000162649,0.000162649,0.000162649
41,2094.82,0.02931,0.9619,0.99048,0.14921,0.000148512,0.000148512,0.000148512
42,2146.59,0.01899,0.95873,0.99365,0.15664,0.000134375,0.000134375,0.000134375
43,2198.19,0.01436,0.96508,0.99365,0.15141,0.000120238,0.000120238,0.000120238
44,2249.79,0.03395,0.95873,0.99365,0.141,0.0001061,0.0001061,0.0001061
45,2301.2,0.02381,0.9619,0.99683,0.14412,9.19632e-05,9.19632e-05,9.19632e-05
46,2352.51,0.03258,0.95556,0.99365,0.1365,7.7826e-05,7.7826e-05,7.7826e-05
47,2404.6,0.0266,0.95556,0.99365,0.13877,6.36888e-05,6.36888e-05,6.36888e-05
48,2455.46,0.02809,0.95556,0.99365,0.13944,4.95516e-05,4.95516e-05,4.95516e-05
49,2506.27,0.02,0.95873,0.99365,0.14368,3.54144e-05,3.54144e-05,3.54144e-05
50,2557.16,0.05117,0.95873,0.99365,0.13762,2.12772e-05,2.12772e-05,2.12772e-05
